,index,5985,5690,5240,5970,5970.1,5970.2,5600,5600.1,5600.2,5600.3,5600.4,5620,5856,5591,5884,5683,5260,5471,5800,5863,5874,5874.1,5390,5390.1,5390.2,5700,5700.1,5700.2,5700.3,5700.4,5700.5,5700.6,5700.7,5700.8,5500,5500.1,5932,5932.1,5462,5672,5220,5450,5450.1,5450.2,5450.3,5450.4,5882,5550,5642,5642.1,5642.2,5330,5250,5300,5300.1,5300.2,5900,5900.1,5900.2,5900.3,5900.4,5900.5,5320,5380,5631,5631.1,5492,5210,5883,5400,5400.1,5400.2,5400.3,5400.4,5370,5853,5560,5771,5750,5762,5935,5580,5466,5485,5610,5610.1,5610.2,5610.3,5772,5290,5463,5491,5960,5960.1,5960.2,5960.3,5960.4,5892,5200,5000,5464,5270,5881,5350,5592,5953,5854,5540,5230,5792,5871,5474,fyn
9,2020-04,,9824.54,12828.47,,,,12005.87,12005.87,12005.87,12005.87,12005.87,8387.42,7406.13,5054.35,6132.81,6720.99,17976.07,8166.12,12785.39,,32926.83,32926.83,,,,14845.78,14845.78,14845.78,14845.78,14845.78,14845.78,14845.78,14845.78,14845.78,19697.45,19697.45,16830.37,16830.37,,,16176.58,11636.08,11636.08,11636.08,11636.08,11636.08,,8712.49,4206.35,4206.35,4206.35,9998.21,15377.26,17264.22,17264.22,17264.22,6156.73,6156.73,6156.73,6156.73,6156.73,6156.73,11937.25,,18704.17,18704.17,9430.57,15201.05,,12754.8,12754.8,12754.8,12754.8,12754.8,7884.62,5000.0,9269.01,5376.34,9779.59,4865.34,3688.52,9046.46,,5209.3,13946.04,13946.04,13946.04,13946.04,5843.31,,4611.65,6818.18,9946.41,9946.41,9946.41,9946.41,9946.41,9782.61,17048.6,23135.16,5267.35,15663.3,13632.21,,4998.25,7510.81,,11442.65,25206.14,10055.33,18500.0,,14182.93
10,2020-05,3480.39,11318.25,13131.31,17684.21,17684.21,17684.21,9874.59,9874.59,9874.59,9874.59,9874.59,6998.94,,11464.97,7810.22,5779.73,14659.28,10106.38,18141.33,6690.14,15879.73,15879.73,18820.5,18820.5,18820.5,14842.51,14842.51,14842.51,14842.51,14842.51,14842.51,14842.51,14842.51,14842.51,17500.63,17500.63,10956.08,10956.08,,8082.26,18038.02,15576.77,15576.77,15576.77,15576.77,15576.77,7551.72,8043.63,13445.95,13445.95,13445.95,11463.56,18864.6,16197.45,16197.45,16197.45,10181.87,10181.87,10181.87,10181.87,10181.87,10181.87,9388.89,,16191.04,16191.04,9344.48,15143.48,3663.37,13692.45,13692.45,13692.45,13692.45,13692.45,,9731.54,4819.88,7824.07,6816.88,9959.55,14957.26,14574.81,,10878.79,4868.94,4868.94,4868.94,4868.94,2967.03,9006.21,6338.03,12710.84,7060.92,7060.92,7060.92,7060.92,7060.92,,18600.98,21950.39,10091.07,15147.13,,6299.21,9961.54,10183.89,,7316.92,25406.8,10122.87,15295.96,7382.55,14748.49
11,2020-06,2229.73,11664.16,11977.09,7055.21,7055.21,7055.21,13145.47,13145.47,13145.47,13145.47,13145.47,8731.28,4411.76,5926.11,10670.73,13742.78,14791.84,,16977.58,,11663.59,11663.59,30284.44,30284.44,30284.44,16458.05,16458.05,16458.05,16458.05,16458.05,16458.05,16458.05,16458.05,16458.05,16288.68,16288.68,12202.2,12202.2,,6469.3,16679.93,,,,,,11887.42,17132.98,7226.91,7226.91,7226.91,12518.03,17469.34,14425.77,14425.77,14425.77,7775.73,7775.73,7775.73,7775.73,7775.73,7775.73,10576.09,,11629.28,11629.28,6727.99,16882.43,5617.48,,,,,,3847.42,4225.68,13174.6,4732.99,10802.92,8887.86,8170.86,11835.7,12647.06,,11920.23,11920.23,11920.23,11920.23,8189.28,9055.12,6093.75,9434.52,7085.96,7085.96,7085.96,7085.96,7085.96,6034.95,16129.03,22578.89,18483.86,14752.23,8434.78,,10774.31,14007.25,,8648.69,24365.69,9467.79,8195.88,,14832.42
12,2020-07,4545.45,7976.95,15828.92,11761.95,11761.95,11761.95,11748.01,11748.01,11748.01,11748.01,11748.01,5167.26,10775.04,333.33,6664.89,4643.87,17610.05,,13168.61,,13331.98,13331.98,28931.76,28931.76,28931.76,16322.55,16322.55,16322.55,16322.55,16322.55,16322.55,16322.55,16322.55,16322.55,16629.79,16629.79,16858.96,16858.96,,8373.4,18594.77,,,,,,3642.38,9898.02,10976.67,10976.67,10976.67,10441.8,21083.81,14232.36,14232.36,14232.36,9063.48,9063.48,9063.48,9063.48,9063.48,9063.48,11121.7,,6504.07,6504.07,12798.28,16517.25,11666.67,,,,,,18125.0,9579.44,7737.57,9124.32,9216.78,12443.53,5543.48,16204.11,16957.94,,12453.96,12453.96,12453.96,12453.96,8485.66,5650.68,9567.03,,5107.08,5107.08,5107.08,5107.08,5107.08,10350.61,15126.74,22135.0,10752.05,15630.44,12874.41,,6699.02,9171.94,6430.0,6785.71,24005.66,12462.42,14042.9,,15064.16
13,2020-08,12831.31,8606.98,13306.99,4640.83,4640.83,4640.83,10660.87,10660.87,10660.87,10660.87,10660.87,5121.17,,8274.7,8928.57,10896.92,15315.04,9447.6,14492.3,5531.75,7326.09,7326.09,21299.12,21299.12,21299.12,16376.93,16376.93,16376.93,16376.93,16376.93,16376.93,16376.93,16376.93,16376.93,17815.04,17815.04,10287.24,10287.24,19005.85,5154.67,18356.09,19610.23,19610.23,19610.23,19610.23,19610.23,,11285.71,7944.08,7944.08,7944.08,11721.07,19030.83,17571.5,17571.5,17571.5,8244.09,8244.09,8244.09,8244.09,8244.09,8244.09,10021.96,2865.85,9171.68,9171.68,8293.12,14555.74,,15910.45,15910.45,15910.45,15910.45,15910.45,13593.41,9505.63,6798.7,9346.83,7913.74,10215.9,4966.3,9163.39,10190.96,,10443.07,10443.07,10443.07,10443.07,9421.83,,5767.38,14851.19,6533.23,6533.23,6533.23,6533.23,6533.23,4869.79,15646.94,22789.84,11144.98,14384.92,26785.71,,3571.43,6436.87,9319.98,7044.04,24999.14,12664.17,10670.49,,14000.32
14,2020-09,3693.45,10124.92,12711.17,11228.56,11228.56,11228.56,12369.73,12369.73,12369.73,12369.73,12369.73,7362.91,6428.57,,6654.93,7572.37,13923.06,7315.37,14519.29,10614.75,14171.81,14171.81,19909.23,19909.23,19909.23,15745.06,15745.06,15745.06,15745.06,15745.06,15745.06,15745.06,15745.06,15745.06,22631.73,22631.73,11956.0,11956.0,13299.08,5109.88,15165.27,14553.89,14553.89,14553.89,14553.89,14553.89,13122.07,11422.25,3388.8,3388.8,3388.8,9377.7,18555.78,15825.36,15825.36,15825.36,7942.2,7942.2,7942.2,7942.2,7942.2,7942.2,13915.86,,17734.86,17734.86,8657.05,15189.44,,16801.93,16801.93,16801.93,16801.93,16801.93,9101.12,7475.79,9605.18,7329.07,10190.51,7689.74,4510.13,5263.16,9615.27,,12720.87,12720.87,12720.87,12720.87,8675.53,,4138.3,14950.71,6704.12,6704.12,6704.12,6704.12,6704.12,,17568.29,24348.38,15960.96,15251.15,10278.87,9869.83,6605.57,10093.8,9924.11,9223.28,24831.52,12964.71,21363.43,4136.69,14764.93
15,2020-10,5210.92,9309.69,11771.63,8487.1,8487.1,8487.1,10798.77,10798.77,10798.77,10798.77,10798.77,4947.63,7800.49,3947.22,12717.39,7567.12,17213.83,5717.61,14875.84,11616.31,,,33544.78,33544.78,33544.78,16828.35,16828.35,16828.35,16828.35,16828.35,16828.35,16828.35,16828.35,16828.35,16143.08,16143.08,10739.5,10739.5,12764.85,4415.49,16980.34,13025.38,13025.38,13025.38,13025.38,13025.38,8734.93,10143.22,9336.18,9336.18,9336.18,12046.95,17309.24,17152.76,17152.76,17152.76,10129.74,10129.74,10129.74,10129.74,10129.74,10129.74,10896.46,,8027.56,8027.56,7724.87,16065.87,5214.72,11282.87,11282.87,11282.87,11282.87,11282.87,,7789.06,7901.91,12333.78,9665.0,9794.34,12508.49,8612.07,7333.33,5519.48,8972.21,8972.21,8972.21,8972.21,7646.36,13055.41,6794.02,23670.21,5675.72,5675.72,5675.72,5675.72,5675.72,,16645.67,24069.86,26227.13,15273.34,11295.43,5656.93,7477.78,15007.52,3534.16,8656.1,25100.61,9099.57,9709.84,,13843.23
16,2020-11,6357.14,9380.95,13143.4,5506.86,5506.86,5506.86,9057.51,9057.51,9057.51,9057.51,9057.51,8929.06,8523.81,11188.81,4010.99,5975.54,15218.81,4406.63,12537.59,8790.99,,,26325.05,26325.05,26325.05,18478.35,18478.35,18478.35,18478.35,18478.35,18478.35,18478.35,18478.35,18478.35,17113.22,17113.22,9301.58,9301.58,,7894.11,16829.0,9364.69,9364.69,9364.69,9364.69,9364.69,,11220.48,12442.11,12442.11,12442.11,30920.05,20033.91,14900.61,14900.61,14900.61,10075.54,10075.54,10075.54,10075.54,10075.54,10075.54,14159.51,,12805.84,12805.84,9244.21,15228.07,,13741.04,13741.04,13741.04,13741.04,13741.04,7324.84,9018.79,9496.78,6063.32,9791.53,12531.51,5891.67,9721.33,12079.94,3541.38,7753.79,7753.79,7753.79,7753.79,10019.87,,5767.48,10629.29,13212.35,13212.35,13212.35,13212.35,13212.35,10080.06,17521.33,25303.67,15117.34,17182.82,14830.44,,6464.71,12291.66,,9260.07,29842.61,11535.91,10575.79,7581.13,14623.43
17,2020-12,,,,5577.54,5577.54,5577.54,15946.62,15946.62,15946.62,15946.62,15946.62,6783.31,,11879.64,,,16009.67,9835.92,13846.16,12128.38,10520.83,10520.83,37078.65,37078.65,37078.65,14665.96,14665.96,14665.96,14665.96,14665.96,14665.96,14665.96,14665.96,14665.96,18421.68,18421.68,10439.13,10439.13,11256.6,4210.14,20902.28,16049.41,16049.41,16049.41,16049.41,16049.41,6071.43,11108.68,,,,13969.65,19581.16,12262.74,12262.74,12262.74,6457.27,6457.27,6457.27,6457.27,6457.27,6457.27,12811.36,8260.87,,,8757.81,15412.47,,10946.56,10946.56,10946.56,10946.56,10946.56,15979.38,6627.81,11176.75,,8219.73,13435.65,2954.41,11734.09,10716.36,,5056.86,5056.86,5056.86,5056.86,,,,,6547.02,6547.02,6547.02,6547.02,6547.02,5249.97,16704.26,23141.3,15518.15,13859.9,9960.09,,6756.76,8874.38,9045.14,7898.44,28059.8,11125.64,12500.0,,14823.25
18,2021-01,4576.92,26037.64,13912.18,10350.41,10350.41,10350.41,9673.61,9673.61,9673.61,9673.61,9673.61,9796.72,7950.67,10693.31,11060.61,9792.33,17449.67,7703.78,14926.25,,12695.13,12695.13,13983.05,13983.05,13983.05,17723.8,17723.8,17723.8,17723.8,17723.8,17723.8,17723.8,17723.8,17723.8,16890.98,16890.98,,,17708.44,7799.64,19085.92,11387.21,11387.21,11387.21,11387.21,11387.21,,9622.79,15662.65,15662.65,15662.65,10000.76,19272.27,20371.16,20371.16,20371.16,11546.25,11546.25,11546.25,11546.25,11546.25,11546.25,14594.99,7954.55,6352.98,6352.98,8434.88,16311.36,,12322.12,12322.12,12322.12,12322.12,12322.12,9028.51,7087.72,12479.13,7475.71,8664.18,9146.28,6363.64,12415.84,6907.14,,9996.23,9996.23,9996.23,9996.23,10379.16,7539.68,,8235.29,8402.83,8402.83,8402.83,8402.83,8402.83,,19691.14,21467.32,4194.64,15354.02,16263.74,,6240.87,6575.47,4749.35,15630.37,25232.58,11723.43,10048.37,3500.0,14893.18
19,2021-02,5416.45,6726.25,14870.25,11100.71,11100.71,11100.71,14006.81,14006.81,14006.81,14006.81,14006.81,5085.2,,2886.18,,9000.13,15965.85,8231.12,13487.0,9326.24,8158.47,8158.47,24576.27,24576.27,24576.27,16080.96,16080.96,16080.96,16080.96,16080.96,16080.96,16080.96,16080.96,16080.96,16739.07,16739.07,12470.81,12470.81,5710.53,6654.46,18595.25,17058.5,17058.5,17058.5,17058.5,17058.5,6190.48,11021.13,11772.36,11772.36,11772.36,10380.12,19044.89,14459.5,14459.5,14459.5,9589.92,9589.92,9589.92,9589.92,9589.92,9589.92,14739.43,,20455.36,20455.36,9419.55,18296.62,,12464.99,12464.99,12464.99,12464.99,12464.99,26217.3,8398.51,7459.83,8529.93,8272.17,4325.28,,9584.73,11280.0,,10719.51,10719.51,10719.51,10719.51,5210.24,,,10502.55,7282.27,7282.27,7282.27,7282.27,7282.27,7462.14,18965.44,23390.86,333.33,15005.28,14108.33,,6813.36,10177.88,5839.13,11378.79,28084.46,12038.62,9951.0,,14555.78
20,2021-03,3715.18,12305.11,13029.89,8838.86,8838.86,8838.86,11515.34,11515.34,11515.34,11515.34,11515.34,7489.54,9488.64,11069.95,11210.94,13096.79,18592.98,7214.08,14089.99,8617.97,14826.07,14826.07,31031.65,31031.65,31031.65,15667.4,15667.4,15667.4,15667.4,15667.4,15667.4,15667.4,15667.4,15667.4,16416.3,16416.3,19288.18,19288.18,14294.93,6134.05,17286.87,18602.57,18602.57,18602.57,18602.57,18602.57,9964.29,11717.74,10376.05,10376.05,10376.05,13259.95,20346.4,11467.44,11467.44,11467.44,8810.5,8810.5,8810.5,8810.5,8810.5,8810.5,12654.41,3178.81,11626.56,11626.56,9291.32,16116.3,,11139.82,11139.82,11139.82,11139.82,11139.82,25743.19,7535.46,7152.31,5500.0,13650.51,10079.21,17826.09,9894.87,9380.72,4685.99,9774.1,9774.1,9774.1,9774.1,9774.44,,1538.46,17901.23,7267.56,7267.56,7267.56,7267.56,7267.56,6846.62,16894.75,25255.0,10198.79,14572.26,19548.29,10696.99,16350.68,9543.6,6079.55,17953.69,30064.91,12599.65,,,15091.99
21,2021-04,4337.34,11373.65,16659.08,9277.5,9277.5,9277.5,12156.96,12156.96,12156.96,12156.96,12156.96,7795.53,6805.56,5750.0,,8291.22,17531.15,8991.51,22386.18,10527.55,7763.33,7763.33,31600.0,31600.0,31600.0,17409.19,17409.19,17409.19,17409.19,17409.19,17409.19,17409.19,17409.19,17409.19,16587.93,16587.93,9215.69,9215.69,14534.12,5221.42,17106.08,17060.1,17060.1,17060.1,17060.1,17060.1,606.06,10808.44,16125.0,16125.0,16125.0,9589.73,19324.24,18213.6,18213.6,18213.6,14187.87,14187.87,14187.87,14187.87,14187.87,14187.87,12211.97,8176.27,8746.86,8746.86,7793.61,18208.63,16037.74,11783.35,11783.35,11783.35,11783.35,11783.35,11971.83,3734.94,11225.88,8880.33,10389.75,10405.65,9990.94,10324.33,17791.86,6516.39,8398.11,8398.11,8398.11,8398.11,7096.07,12704.08,3125.0,9842.19,9406.18,9406.18,9406.18,9406.18,9406.18,2905.98,18860.08,23587.24,23926.63,16783.42,14410.85,13742.15,9732.87,9719.0,8778.63,8562.41,28098.57,12961.55,18208.96,8310.81,15184.39
