,id,zip_code,name,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,pretty_name
19,208,5863,Ferritslev Fyn,,9523.81,9150.75,5000.0,9180.31,,5897.44,,,,6690.14,,,5531.75,10614.75,11616.31,8790.99,12128.38,,9326.24,8617.97,10527.55,,8654.28,10152.44,,9405.94,,,5863 Ferritslev Fyn
20,232,5874,Hesselager,5454.55,10337.99,15273.17,,10939.6,,,10923.82,17000.0,32926.83,15879.73,11663.59,13331.98,7326.09,14171.81,,,10520.83,12695.13,8158.47,14826.07,7763.33,8509.08,21183.98,9184.24,10414.49,,19176.83,10466.71,5874 Hesselager
21,233,5874,Hesselager,5454.55,10337.99,15273.17,,10939.6,,,10923.82,17000.0,32926.83,15879.73,11663.59,13331.98,7326.09,14171.81,,,10520.83,12695.13,8158.47,14826.07,7763.33,8509.08,21183.98,9184.24,10414.49,,19176.83,10466.71,5874 Hesselager
22,234,5390,Martofte,18421.05,11447.43,22779.03,20394.14,50416.67,25078.62,22281.55,,63333.33,,18820.5,30284.44,28931.76,21299.12,19909.23,33544.78,26325.05,37078.65,13983.05,24576.27,31031.65,31600.0,22116.46,68478.26,22406.17,6568.63,17163.67,17444.59,18750.0,5390 Martofte
23,235,5390,Martofte,18421.05,11447.43,22779.03,20394.14,50416.67,25078.62,22281.55,,63333.33,,18820.5,30284.44,28931.76,21299.12,19909.23,33544.78,26325.05,37078.65,13983.05,24576.27,31031.65,31600.0,22116.46,68478.26,22406.17,6568.63,17163.67,17444.59,18750.0,5390 Martofte
24,236,5390,Martofte,18421.05,11447.43,22779.03,20394.14,50416.67,25078.62,22281.55,,63333.33,,18820.5,30284.44,28931.76,21299.12,19909.23,33544.78,26325.05,37078.65,13983.05,24576.27,31031.65,31600.0,22116.46,68478.26,22406.17,6568.63,17163.67,17444.59,18750.0,5390 Martofte
25,239,5700,Svendborg,13814.34,13911.2,14452.56,14766.47,13960.3,12800.42,13914.01,18238.87,17001.97,14845.78,14842.51,16458.05,16322.55,16376.93,15745.06,16828.35,18478.35,14665.96,17723.8,16080.96,15667.4,17409.19,17469.49,18211.13,18622.07,17455.12,18752.78,17200.35,16721.95,5700 Svendborg
26,240,5700,Svendborg,13814.34,13911.2,14452.56,14766.47,13960.3,12800.42,13914.01,18238.87,17001.97,14845.78,14842.51,16458.05,16322.55,16376.93,15745.06,16828.35,18478.35,14665.96,17723.8,16080.96,15667.4,17409.19,17469.49,18211.13,18622.07,17455.12,18752.78,17200.35,16721.95,5700 Svendborg
27,241,5700,Svendborg,13814.34,13911.2,14452.56,14766.47,13960.3,12800.42,13914.01,18238.87,17001.97,14845.78,14842.51,16458.05,16322.55,16376.93,15745.06,16828.35,18478.35,14665.96,17723.8,16080.96,15667.4,17409.19,17469.49,18211.13,18622.07,17455.12,18752.78,17200.35,16721.95,5700 Svendborg
28,242,5700,Svendborg,13814.34,13911.2,14452.56,14766.47,13960.3,12800.42,13914.01,18238.87,17001.97,14845.78,14842.51,16458.05,16322.55,16376.93,15745.06,16828.35,18478.35,14665.96,17723.8,16080.96,15667.4,17409.19,17469.49,18211.13,18622.07,17455.12,18752.78,17200.35,16721.95,5700 Svendborg
29,243,5700,Svendborg,13814.34,13911.2,14452.56,14766.47,13960.3,12800.42,13914.01,18238.87,17001.97,14845.78,14842.51,16458.05,16322.55,16376.93,15745.06,16828.35,18478.35,14665.96,17723.8,16080.96,15667.4,17409.19,17469.49,18211.13,18622.07,17455.12,18752.78,17200.35,16721.95,5700 Svendborg
30,244,5700,Svendborg,13814.34,13911.2,14452.56,14766.47,13960.3,12800.42,13914.01,18238.87,17001.97,14845.78,14842.51,16458.05,16322.55,16376.93,15745.06,16828.35,18478.35,14665.96,17723.8,16080.96,15667.4,17409.19,17469.49,18211.13,18622.07,17455.12,18752.78,17200.35,16721.95,5700 Svendborg
31,245,5700,Svendborg,13814.34,13911.2,14452.56,14766.47,13960.3,12800.42,13914.01,18238.87,17001.97,14845.78,14842.51,16458.05,16322.55,16376.93,15745.06,16828.35,18478.35,14665.96,17723.8,16080.96,15667.4,17409.19,17469.49,18211.13,18622.07,17455.12,18752.78,17200.35,16721.95,5700 Svendborg
32,246,5700,Svendborg,13814.34,13911.2,14452.56,14766.47,13960.3,12800.42,13914.01,18238.87,17001.97,14845.78,14842.51,16458.05,16322.55,16376.93,15745.06,16828.35,18478.35,14665.96,17723.8,16080.96,15667.4,17409.19,17469.49,18211.13,18622.07,17455.12,18752.78,17200.35,16721.95,5700 Svendborg
33,247,5700,Svendborg,13814.34,13911.2,14452.56,14766.47,13960.3,12800.42,13914.01,18238.87,17001.97,14845.78,14842.51,16458.05,16322.55,16376.93,15745.06,16828.35,18478.35,14665.96,17723.8,16080.96,15667.4,17409.19,17469.49,18211.13,18622.07,17455.12,18752.78,17200.35,16721.95,5700 Svendborg
34,258,5500,Middelfart,17001.13,14511.38,15277.32,15428.84,17141.85,17103.41,15180.16,14166.31,18420.93,19697.45,17500.63,16288.68,16629.79,17815.04,22631.73,16143.08,17113.22,18421.68,16890.98,16739.07,16416.3,16587.93,18395.03,21328.42,22359.28,18011.48,18305.76,20462.95,17437.61,5500 Middelfart
35,259,5500,Middelfart,17001.13,14511.38,15277.32,15428.84,17141.85,17103.41,15180.16,14166.31,18420.93,19697.45,17500.63,16288.68,16629.79,17815.04,22631.73,16143.08,17113.22,18421.68,16890.98,16739.07,16416.3,16587.93,18395.03,21328.42,22359.28,18011.48,18305.76,20462.95,17437.61,5500 Middelfart
