,month,5771,5000,5260,5500,5471,5960,5700,5230,5200,5762,5683,5550,5970,5610,5320,5792,5270,5240,5250,5210,5800,5900,5492,5350,5220,5953,5932,5750,5400,5474,5464,5300,5881,5882,5560,5631,5600,5871,5466,5330,5540,5620,5580,5874,5883,5290,5592,5491,5380,5390,5462,5853,5485,5672,5370,5856,5690,5591,5772,5943,5863,5854,5642,5935,5985,5463,5884,5892,5450,5601,5602
0,2019-07,1,43,20,16,2,2,21,10,2,3,5,4,2,4,3,6,8,6,28,14,8,5,3,2,10,4,5,4,6,1,5,7,5,2,2,2,16,2,3,3,3,6,4,1,2,2,3,1,1,1,1,3,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019-08,1,35,17,17,1,9,31,23,4,2,3,1,3,6,2,6,9,3,20,19,11,7,5,0,9,2,3,5,11,0,1,6,3,0,2,0,10,2,1,3,4,2,8,2,2,1,0,0,0,2,1,0,0,4,0,2,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0
2,2019-09,1,33,9,23,3,9,22,13,3,3,2,2,5,7,4,5,16,3,12,9,8,6,4,1,11,3,11,8,11,1,2,8,2,1,3,4,9,4,0,4,2,3,1,2,0,2,2,2,1,3,1,1,1,3,1,1,2,0,0,1,3,0,3,1,1,0,0,0,0,0,0
3,2019-10,5,25,13,18,3,1,32,13,5,2,2,6,3,4,3,8,15,2,14,17,19,6,0,0,7,6,7,7,10,1,3,9,2,0,4,3,16,3,4,7,3,6,1,0,0,0,5,0,0,4,4,5,0,4,0,2,5,4,3,1,1,2,2,1,1,0,0,0,0,0,0
4,2019-11,1,33,18,21,8,6,24,18,4,2,3,1,2,7,3,9,12,8,17,7,13,6,3,0,10,6,3,5,6,2,0,5,0,0,4,3,10,2,2,2,5,3,2,1,0,1,1,2,1,1,1,1,0,4,1,1,8,4,2,0,2,2,0,2,1,2,1,0,0,0,0
5,2019-12,1,35,10,15,5,2,21,9,4,4,3,4,0,5,4,6,12,6,9,12,14,3,3,0,5,4,5,2,8,0,2,6,0,0,3,1,9,0,1,2,3,2,3,0,0,1,2,0,1,4,0,2,1,4,1,1,2,2,0,0,0,1,0,2,1,1,0,0,0,0,0
6,2020-01,1,32,13,18,3,3,30,10,2,2,6,6,2,1,1,10,12,5,19,18,12,6,1,0,8,5,1,11,4,2,1,7,2,0,2,1,10,2,0,2,1,1,3,0,1,0,5,0,0,1,2,4,0,3,0,2,2,0,0,0,1,0,0,0,1,2,1,0,0,0,0
7,2020-02,0,31,14,12,4,4,27,12,1,3,3,1,4,5,2,5,15,4,21,6,11,2,0,0,3,3,1,10,5,2,2,5,1,0,2,1,12,4,5,0,5,1,1,4,1,0,2,0,1,0,0,3,0,3,0,0,8,0,0,0,0,2,1,0,1,0,0,1,0,0,0
8,2020-03,2,35,14,19,0,6,24,17,2,3,4,4,0,12,2,7,5,8,19,10,5,3,1,0,6,9,3,8,3,0,2,3,1,0,4,2,17,0,1,1,7,7,1,1,0,0,2,0,0,1,2,3,0,5,1,0,5,0,2,1,0,0,0,0,0,0,0,1,6,0,0
